BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN00839331	SRX131088	BKN015_library	2012-08-11	5633	2917	Zea mays	SRR447751	SRS302393	BKN015	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839331	SRX131089	BKN015_library	2012-08-11	5663	2856	Zea mays	SRR447752	SRS302393	BKN015	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839421	SRX131099	VL05128_library	2012-08-11	6675	4225	Zea mays	SRR447762	SRS302483	VL05128	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839359	SRX131100	CML202_library	2012-08-11	6675	4268	Zea mays	SRR447763	SRS302421	CML202	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839381	SRX131101	H16_library	2012-08-11	6675	4382	Zea mays	SRR447764	SRS302443	H16	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839386	SRX131102	KY21_library	2012-08-11	1971	1359	Zea mays	SRR447765	SRS302448	KY21	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839386	SRX131103	KY21_library	2012-08-11	2739	1887	Zea mays	SRR447766	SRS302448	KY21	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839341	SRX131104	BKN027_library	2012-08-11	5494	2664	Zea mays	SRR447767	SRS302403	BKN027	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839341	SRX131105	BKN027_library	2012-08-11	5554	2707	Zea mays	SRR447768	SRS302403	BKN027	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131106	CAU478_library	2015-06-28	1430	1045	Zea mays	SRR447769	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131107	CAU478_library	2012-08-11	1430	1077	Zea mays	SRR447770	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131108	CAU478_library	2015-06-28	1156	773	Zea mays	SRR447771	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131109	CAU478_library	2012-08-11	328	246	Zea mays	SRR447772	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131110	CAU478_library	2015-06-28	1430	1033	Zea mays	SRR447773	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131111	CAU478_library	2015-06-28	1430	1083	Zea mays	SRR447774	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131112	CAU478_library	2015-06-28	1430	1109	Zea mays	SRR447775	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131113	CAU478_library	2015-06-28	839	552	Zea mays	SRR447776	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131114	CAU478_library	2012-08-11	798	602	Zea mays	SRR447777	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131115	CAU478_library	2015-06-28	1430	1091	Zea mays	SRR447778	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839351	SRX131116	CAU478_library	2015-06-28	1401	1055	Zea mays	SRR447779	SRS302413	CAU478	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839413	SRX131117	TIL14_library	2012-08-11	2865	1951	Zea mays subsp. parviglumis	SRR447780	SRS302475	TIL14	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839413	SRX131118	TIL14_library	2012-08-11	2638	1837	Zea mays subsp. parviglumis	SRR447781	SRS302475	TIL14	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839413	SRX131119	TIL14_library	2012-08-11	2469	1564	Zea mays subsp. parviglumis	SRR447782	SRS302475	TIL14	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131120	W64A_library	2012-08-11	2661	1816	Zea mays	SRR447783	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131121	W64A_library	2012-08-11	2587	1806	Zea mays	SRR447784	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131122	W64A_library	2012-08-11	2700	1873	Zea mays	SRR447785	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131123	W64A_library	2012-08-11	2678	1834	Zea mays	SRR447786	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131124	W64A_library	2012-08-11	2619	1825	Zea mays	SRR447787	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131125	W64A_library	2012-08-11	2664	1818	Zea mays	SRR447788	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131126	W64A_library	2012-08-11	2730	1893	Zea mays	SRR447789	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131127	W64A_library	2012-08-11	2692	1836	Zea mays	SRR447790	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131128	W64A_library	2012-08-11	2656	1846	Zea mays	SRR447791	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131129	W64A_library	2012-08-11	2704	1881	Zea mays	SRR447792	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131130	W64A_library	2012-08-11	2700	1873	Zea mays	SRR447793	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131131	W64A_library	2012-08-11	2675	1831	Zea mays	SRR447794	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131132	W64A_library	2012-08-11	2687	1855	Zea mays	SRR447795	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839427	SRX131133	W64A_library	2012-08-11	2686	1859	Zea mays	SRR447796	SRS302489	W64A	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839393	SRX131134	NC358_library	2012-08-11	1995	1375	Zea mays	SRR447797	SRS302455	NC358	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839393	SRX131135	NC358_library	2012-08-11	2555	1739	Zea mays	SRR447798	SRS302455	NC358	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839382	SRX131136	HP301_library	2012-08-11	4555	2630	Zea mays	SRR447799	SRS302444	HP301	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839382	SRX131137	HP301_library	2012-08-11	2774	1827	Zea mays	SRR447800	SRS302444	HP301	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839379	SRX131138	CML96_library	2012-08-11	6675	4412	Zea mays	SRR447801	SRS302441	CML96	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839335	SRX131139	BKN019_library	2012-08-11	5334	2606	Zea mays	SRR447802	SRS302397	BKN019	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839335	SRX131140	BKN019_library	2012-08-11	4782	2327	Zea mays	SRR447803	SRS302397	BKN019	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839398	SRX131141	TDD39103_library	2012-08-11	5841	3018	Tripsacum dactyloides	SRR447804	SRS302460	TDD39103	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839398	SRX131142	TDD39103_library	2012-08-11	6466	3276	Tripsacum dactyloides	SRR447805	SRS302460	TDD39103	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839398	SRX131143	TDD39103_library	2012-08-11	6184	3170	Tripsacum dactyloides	SRR447806	SRS302460	TDD39103	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839398	SRX131144	TDD39103_library	2012-08-11	6302	3254	Tripsacum dactyloides	SRR447807	SRS302460	TDD39103	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839337	SRX131145	BKN022_library	2012-08-11	5258	2569	Zea mays	SRR447808	SRS302399	BKN022	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839337	SRX131146	BKN022_library	2012-08-11	5706	2909	Zea mays	SRR447809	SRS302399	BKN022	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839390	SRX131147	MO18W_library	2012-08-11	664	459	Zea mays	SRR447810	SRS302452	MO18W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839390	SRX131148	MO18W_library	2012-08-11	2943	2005	Zea mays	SRR447811	SRS302452	MO18W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839390	SRX131149	MO18W_library	2012-08-11	2489	1128	Zea mays	SRR447812	SRS302452	MO18W	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839342	SRX131150	BKN029_library	2012-08-11	5291	2536	Zea mays	SRR447813	SRS302404	BKN029	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839342	SRX131151	BKN029_library	2012-08-11	5772	2913	Zea mays	SRR447814	SRS302404	BKN029	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839366	SRX131152	CML330_library	2012-08-11	6675	4351	Zea mays	SRR447815	SRS302428	CML330	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839418	SRX131153	TX303_library	2012-08-11	2848	1975	Zea mays	SRR447816	SRS302480	TX303	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839418	SRX131154	TX303_library	2012-08-11	5086	3365	Zea mays	SRR447817	SRS302480	TX303	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839418	SRX131155	TX303_library	2012-08-11	2718	1655	Zea mays	SRR447818	SRS302480	TX303	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839376	SRX131156	CML69_library	2012-08-11	2972	1972	Zea mays	SRR447819	SRS302438	CML69	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839376	SRX131157	CML69_library	2012-08-11	6032	4048	Zea mays	SRR447820	SRS302438	CML69	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839339	SRX131158	BKN025_library	2012-08-11	5335	2590	Zea mays	SRR447821	SRS302401	BKN025	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839339	SRX131159	BKN025_library	2012-08-11	5451	2789	Zea mays	SRR447822	SRS302401	BKN025	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839348	SRX131160	BKN035_library	2012-08-11	4860	2452	Zea mays	SRR447823	SRS302410	BKN035	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839348	SRX131161	BKN035_library	2012-08-11	5480	2745	Zea mays	SRR447824	SRS302410	BKN035	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839410	SRX131162	TIL10_library	2012-08-11	4058	1870	Zea mays subsp. parviglumis	SRR447825	SRS302472	TIL10	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839410	SRX131163	TIL10_library	2012-08-11	4013	1829	Zea mays subsp. parviglumis	SRR447826	SRS302472	TIL10	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839405	SRX131164	TIL06_library	2012-08-11	3853	2054	Zea mays subsp. parviglumis	SRR447827	SRS302467	TIL06	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839405	SRX131165	TIL06_library	2012-08-11	2911	2004	Zea mays subsp. parviglumis	SRR447828	SRS302467	TIL06	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839405	SRX131166	TIL06_library	2012-08-11	3344	1698	Zea mays subsp. parviglumis	SRR447829	SRS302467	TIL06	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839396	SRX131167	P1_library	2012-08-11	6675	4247	Zea mays	SRR447830	SRS302458	P1	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131168	OH43_library	2012-08-11	2020	1361	Zea mays	SRR447831	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131169	OH43_library	2012-08-11	2785	1666	Zea mays	SRR447832	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131170	OH43_library	2012-08-11	2231	1506	Zea mays	SRR447833	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131171	OH43_library	2012-08-11	1323	803	Zea mays	SRR447834	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131172	OH43_library	2012-08-11	2863	1995	Zea mays	SRR447835	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131173	OH43_library	2012-08-11	1876	1264	Zea mays	SRR447836	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131174	OH43_library	2012-08-11	2931	2036	Zea mays	SRR447837	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131175	OH43_library	2012-08-11	2878	2006	Zea mays	SRR447838	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131176	OH43_library	2012-08-11	2877	2006	Zea mays	SRR447839	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131177	OH43_library	2012-08-11	1935	1295	Zea mays	SRR447840	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131178	OH43_library	2012-08-11	1723	1184	Zea mays	SRR447841	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131179	OH43_library	2012-08-11	2833	1969	Zea mays	SRR447842	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131180	OH43_library	2012-08-11	1689	1127	Zea mays	SRR447843	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131181	OH43_library	2012-08-11	2914	2027	Zea mays	SRR447844	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839394	SRX131182	OH43_library	2012-08-11	1229	810	Zea mays	SRR447845	SRS302456	OH43	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
